project_name,project_code,legacy_ocms_code,original_cost,expenditure,physical_progress,planned_duration_months,project_age_months,approval_to_start_months,State,agency,cost_overrun_flag
Improvement and Up-gradation to two Lane with Paved Shoulder Configuration from existing km. 420.00 Shohrathgarh to km. 454.00 Uska Bazar of NH-730 in the state of Uttar Pradesh EPC basis,MoRTH,618056,509.65,98.47,56.0,18.0,25.0,26.0,Uttar Pradesh,MoRTH,0
Construction of Shohratgarh Bypass on NH-730 under EPC mode in the State of Uttar Pradesh,MoRTH,618057,189.31,0.0,49.22,18.0,29.0,13.0,Uttar Pradesh,MoRTH,0
Widening & Strenghteningof section from Bharthana chowk to Kodarkoot km.0.00 to km.40.00 of NH-91-A on EPC mode,MoRTH,618063,262.37,112.46,92.0,18.0,37.0,36.0,Uttar Pradesh,MoRTH,1
Construction of Amethi bypass Part-II at km.30.050 of NH-931 under EPC mode in the state of Uttar Pradesh,MoRTH,618066,283.86,24.5,43.0,24.0,14.0,26.0,Uttar Pradesh,MoRTH,0
"Rehabilitation & Up-gradation from design Km. 0.000 to Km. 69.280 of NH-931 Pratapgarh - Amethi - Gauriganj -Musafirkhana to two lane with paved shoulder on Engineering, Procurement & Construction EpC mode in the State of Uttar Pradesh",MoRTH,618067,1086.3,0.0,4.0,24.0,5.0,30.0,Uttar Pradesh,MoRTH,0
Construction of two lane with paved shoulder from existing Km.0.000 to Km.55.610 design km. 0.000 to km. 54.048 of NH-124D,MoRTH,618075,840.93,167.6,64.0,24.0,26.0,26.0,Uttar Pradesh,MoRTH,0
Construction of Mariahu Bypass with four lane paved shoulder configuration Km. 53.540 to Km.59.200 of NH-135A on EPC mode in the state of Uttar Pradesh,MoRTH,618081,438.24,0.0,52.0,24.0,26.0,11.0,Uttar Pradesh,MoRTH,0
Widening & Upgradation to four lane configuration from Km.34.900 Bhadohi to km.73.134 Jaunpur of NH-135A on EPC mode,MoRTH,618082,395.62,0.0,94.0,18.0,41.0,20.0,Uttar Pradesh,MoRTH,0
Improvement and upgradation to two lane with Paved Shoulder configuration from existing km 55.00 to km 90.00 Design length 34.76 of NH-227A near Chhapia Village to near Sikriganj in the State of UP on EPC Mode.,MoRTH,618110,307.11,125.88,0.0,18.0,41.0,12.0,Uttar Pradesh,MoRTH,0
Improvement and upgradation to two lane with paved shoulder configuration from existing km 90.00 to 130.00 Design length 39.15 of NH-227A near Sikriganj to Barhalganj in the State of UP on EPC Mode.,MoRTH,618111,403.36,0.0,94.0,18.0,28.0,28.0,Uttar Pradesh,MoRTH,0
"Improvement and up-gradation of NH-227B 84 Kosi Parikrama Marg Package I, from km 228.920 Jagarnathpur to Km 235.960/0.000 MakhaudaDham to Km 29.000 Sarpur in the State of Uttar Pradesh on EPC basis",MoRTH,618112,912.5,0.0,3.0,18.0,11.0,38.0,Uttar Pradesh,MoRTH,0
"Improvement and up-gradation of NH-227B 84 Kosi Parikrama Marg Package III, from Km.47.800 Gosaiganj to Km.73.300 Bikapur in the State of Uttar Pradesh on EPC basis.",MoRTH,618113,587.97,37.42,28.0,18.0,11.0,38.0,Uttar Pradesh,MoRTH,0
"Improvement and up-gradation of NH-227B 84 Kosi Parikrama Marg PackageV, from Design Km.140.960 Patranga to Km.160.200 Bahuvan Madar Majha on EPC mode in the State of Uttar Pradesh",MoRTH,618114,1192.33,0.0,0.0,30.0,2.0,35.0,Uttar Pradesh,MoRTH,0
lmprovement and Up-gradation from Km. 73.300 Bikapur to Km.140.960 Patranga of NH-227B 84 Kosi Parikrama Marg to 2LPS along with Parikrama Path,MoRTH,618116,1679.75,66.99,25.4,24.0,3.0,38.0,Uttar Pradesh,MoRTH,0
Rehabilitation and upgradation from km 51.600 to km 75.700 of NH-321G Nuhkhas to Etah section to two lane with paved shoulder configuration under EPC mode in the State of Uttar Pradesh,MoRTH,618124,343.54,75.71,65.0,18.0,26.0,25.0,Uttar Pradesh,MoRTH,0
"Improvement and up-gradation to 2LPS of NH-227B 84-Kosi Parikrama Marg PackageVI, Design Km 160200 Bahuvan Madar Majha to Km 224040 Jagarnathpur under HAM",MoRTH,618162,2008.7,0.0,5.0,24.0,3.0,32.0,Uttar Pradesh,MoRTH,0
"Rehabilitation and Up-gradation from km. 0000 to km.40390 of NH-730S MaharajganjNichloulThuthibari to two lane with paved shoulders in the State of U.P. on Engineering, Procurement & Construction EPC Basis.",MoRTH,618163,809.25,0.0,58.0,18.0,22.0,15.0,Uttar Pradesh,MoRTH,0
Construction of four lane highway with paved shoulder from Km.74.700 to Km.112.950 of NH-731A i/c Yamuna Bridge on HAM in the state of Uttar Pradesh.,MoRTH,618164,1141.67,0.0,85.0,24.0,22.0,27.0,Uttar Pradesh,MoRTH,1
Construction of 4-lane highway with paved shoulders from Km 49.155 to Km 74.700 of NH-731A on Hybrid Annuity Mode in the state of Uttar Pradesh,MoRTH,618165,1156.72,0.0,98.0,23.0,26.0,25.0,Uttar Pradesh,MoRTH,0
Construction of 4-lane green field highway from Km. 35.000 to Km. 49.155 of NH- 731A with paved shoulders on Hybrid Annuity Mode in the state of Uttar Pradesh,MoRTH,618166,697.66,0.04,99.0,24.0,30.0,21.0,Uttar Pradesh,MoRTH,0
Rehabilitation & Upgradation of NH-731A from Km.0.00 to Km.35.00 to 2-lane with paved shoulder under EPC mode,MoRTH,618167,264.86,0.0,93.0,12.0,44.0,17.0,Uttar Pradesh,MoRTH,0
Widening to four lane with paved shoulder from Design Km.49.200 to Km.89.285 of NH-731B on EPC mode in the state of Uttar Pradesh,MoRTH,618168,917.91,128.0,56.0,24.0,27.0,22.0,Uttar Pradesh,MoRTH,1
Construction of Two Lane with paved shoulder highway from Design Ch.0.000 to Ch.49.2OO of NH-731B on EPC Mode,MoRTH,618169,640.18,239.2,95.98,24.0,29.0,20.0,Uttar Pradesh,MoRTH,0
"Rehabilitation and upgradation of Salon - Jais - Jagdishpur Road section of NH-931A, from design Chainage km 0.000 to km 5.740 to four lane divided carriageway and from design Chainage km 5.740 to km 53.500 to two lane with paved Total length km 53.500 along with One time improvement in 04 no's of realigned/bypassed built-up areas in a total length of 9.732 km in the state of Uttar Pradesh on EPC mode",MoRTH,618187,947.15,0.0,4.0,24.0,6.0,29.0,Uttar Pradesh,MoRTH,0
Rehabilitation and upgradation to 2-lane with paved sholuders configuration of Near Karri village-Etawah section Km30.000 to Km 57.346 Pakage-II of NH-92 in state of Uttar Pradesh undergreen national Highway Corridor ProjectGNHCP with the loan assistance of world Bank on EPC mode.,MoRTH,618229,211.09,0.0,100.0,18.0,44.0,28.0,Uttar Pradesh,MoRTH,0
Construction of 6-lane bridge on Ganga on NH-96 and its approaches in Phaphamau Allahabad on EPC mode,MoRTH,618233,1948.25,0.0,87.91,36.0,62.0,31.0,Uttar Pradesh,MoRTH,0
Rehabilitation and upgradation to 2-lane with paved sholuders configuration of Bewar- naer Karri village section Km0.00 to Km30.00 Pakage-I of NH-92 in state of Uttar Pradesh undergreen national Highway Corridor Project GNHCP with the loan assistance of world Bank on EPC mode.,MoRTH,618240,236.47,0.0,90.0,18.0,43.0,29.0,Uttar Pradesh,MoRTH,0
Construction of Basti Ring Road Phase-I with 4L configuration for Basti City in the state of Uttar Pradesh on HAM mode,MoRTH,618243,1138.72,0.0,27.0,24.0,10.0,30.0,Uttar Pradesh,MoRTH,0
Construction of Raebareli Ring Road Phase-2 with four Lane configuration for Raebareli City in the state of Uttar Pradesh on Hybrid Annuity Model HAM basis,MoRTH,618244,1273.72,0.0,44.37,24.0,11.0,38.0,Uttar Pradesh,MoRTH,0
Construction of 4 lane Mirzapur bypass including bridge over river Ganga from km 0.000 to km 15.000 of NH 135A in the State of Uttar Pradesh on HAM Mode.,MoRTH,618247,1708.62,0.0,2.0,36.0,3.0,22.0,Uttar Pradesh,MoRTH,0
Widening to 4 lane from km. 139.00 to km 179.20 of NH-135A Pkg-III Jaunpur Akbarpur section and Akbarpur bypass on Hybrid Annuity Mode in the state of Uttar Pradesh.,MoRTH,618248,1653.15,0.0,10.0,24.0,3.0,32.0,Uttar Pradesh,MoRTH,0
Widening to 4 lane from km. 108.50 to km 139.00 of NH-135A Pkg-II Jaunpur Akbarpur section on Hybrid Annuity Mode in the state of Uttar Pradesh,MoRTH,618249,1511.57,0.0,32.0,24.0,13.0,24.0,Uttar Pradesh,MoRTH,0
"Improvement and Up-gradation to two Lane with Paved Shoulder/Four Lane configuration from existing Km 130.000 to Km 191.000 design km 131.500 to Km 188.735, Design length 57.235 Km of NH-227A near Barhalganj to Mehrauna Ghat in the state of Uttar Pradesh on Hybrid Annuity Model HAM basis",MoRTH,618252,974.19,0.82,48.0,30.0,17.0,34.0,Uttar Pradesh,MoRTH,1
"Construction of Salempur bypass to 4LPS from km 64.000 of NH-727A Km 171.00 of Sonauli Balia Marg, old SH-01, near Mahadahan Chauraha to km 61.500 of NH-727B Km 178.500 of Sonauli Balia Marg, old SH-01, near near Ahirauli Village under Hybrid Annuity Mode HAM in the State of Uttar Pradesh",MoRTH,618260,1348.06,0.0,25.0,24.0,5.0,44.0,Uttar Pradesh,MoRTH,0
Construction of Deoria Bypass from existing Km. 27.140 to existing Km. 46.780 Design Km. 49.109 on NH727A Design length 21.969 Km. to four lane with paved shoulder configuration under Hybrid Annuity Mode HAM in the State of Uttar Pradesh,MoRTH,618262,1734.7,0.0,10.0,23.0,8.0,29.0,Uttar Pradesh,MoRTH,0
"Rehabilitation and Up-gradation to 2LPS from Km. 0.000 to Km. 7.800 and Km. 35.400 to Km. 52.345 Design length 24.745 Km., except Bihar portion of NH-727B Tamkuhiraj to Bihar Border and Bihar Border to Majhauli on EPC mode in the State of Uttar Pradesh",MoRTH,618263,701.02,0.0,81.18,18.0,15.0,22.0,Uttar Pradesh,MoRTH,0
"Widening and Strengthening to two Lane with Paved Shoulder/Four Lane with paved shoulder configuration from km. 61.500 of NH-727B near Nawalpur km 178.500 of Sonauli Balia Marg, Old SH-01 i.e. end point of Salempur Bypass to km. 106.495 of NH-727B near Sikanderpur under EPC mode",MoRTH,618264,2061.86,0.0,25.0,29.0,4.0,31.0,Uttar Pradesh,MoRTH,0
Rehabilitation and upgradation to 2-lane with paved sholuders configuration of Miranpur Katra to radhaita section of NH-730CKm.114.000 to Km 137.250pakage-III in state of Uttar Pradesh undergreen national Highway Corridor ProjectGNHCP with the loan assistance of world Bank on EPC mode.,MoRTH,618265,172.5,0.0,89.0,24.0,45.0,27.0,Uttar Pradesh,MoRTH,0
Rehabilitation and upgradation to 2-lane with paved sholuders configuration of Bewar- Allahaganj- section of NH-730C Km.0.000 to Km 52.770 pakage-I in state of Uttar Pradesh undergreen national Highway Corridor Project GNHCP with the loan assistance of world Bank on EPC mode.,MoRTH,618266,325.24,0.0,98.0,24.0,41.0,31.0,Uttar Pradesh,MoRTH,1
6L Greenfield Kanpur - Lucknow Expressway Pkg II from km. 28.500 to km. 73.744,National Highways Authority of India [NHAI],618498,2471.56,1178.84,99.8,30.0,41.0,11.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
6L Elevated Kanpur - Lucknow Exeressway Pkg-1 from Km. 10980 to Km. 28500,National Highways Authority of India [NHAI],618499,1972.94,766.29,94.14,29.0,38.0,14.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
Construction of 4L Connector from Delhi Meerut Expressway Km 50.000 of Pkg IV to Km 8.520 of NH-235 Pkg-5,National Highways Authority of India [NHAI],618500,1081.39,419.14,76.0,24.0,49.0,6.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
Varanasi Ring Road Pkg-II connecting Sandaha Village km 11.70 / NH-29 with Revasa Village km 818.80 / NH-2,National Highways Authority of India [NHAI],618529,1991.71,1008.02,94.79,36.0,86.0,14.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
Construction of Ring Road around Kanpur from Ch.68.650 to Ch.93.209 Jarkala to Pakari Package-IV in State of Uttar Pradesh.,National Highways Authority of India [NHAI],618536,1603.53,196.64,32.83,30.0,16.0,22.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
Construction of Ring Road around Kanpur from Km.000 to Km. 23.325 Chachendi Sachendi I to Maharajpur Package-I,National Highways Authority of India [NHAI],618537,1753.75,392.07,55.72,30.0,28.0,11.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
Construction of Ring Road around kanpur from Ch.51.200 to Ch. 68.650 Badarka to Harbanch-Uchti Pkg-III,National Highways Authority of India [NHAI],618538,1792.68,193.85,22.81,30.0,15.0,16.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
Construction of Ring Road Kanpur from Ch. 32.090 to Ch.51.200 Transganaga to Sathara Package-II B,National Highways Authority of India [NHAI],618539,1089.41,38.74,13.67,30.0,13.0,7.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
Construction of Ring Road around Kanpur from Ch.23.325 to Ch.32.090 Chaudhariya to Transganga Package-IIA,National Highways Authority of India [NHAI],618540,1089.41,190.16,42.85,23.0,5.0,15.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
6L of Agra Bypass Northern connecting Km. 174.500 of NH-2 new NH-19 to Km. 141.000 of Yamuna Expressways,National Highways Authority of India [NHAI],618553,957.62,758.4,99.7,24.0,38.0,13.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
Construction of left out portion of Agra Inner Ring Road connecting village Deori to NH-44 village Bad from Km. 0.000 to Km. 7.772,National Highways Authority of India [NHAI],618554,879.26,623.64,91.7,18.0,37.0,8.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
Strengthening of existing 4L Ayodhya Bypass Section from design Km. 121 600 to Km. 144020 of NH 28 New NH 27Pkg-3,NHAI,618565,526.45,259.66,81.85,18.0,31.0,6.0,Uttar Pradesh,NHAI,0
4L Green Field Northern East side Gorakhpur Bypass 26.616 Kms starting from NH- 29E Chainage 83.308 and end at NH-28 Chainage 285.100,National Highways Authority of India [NHAI],618566,1973.98,955.14,68.95,24.0,27.0,11.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
4/6L of Northern Ayodhya Bypass starting Km. 112.540 and ending Km. 139.928 north of existing NH-27 part-1 and part-2 south of NH-27 from km 0.000 to km 5.000.,NHAI,618567,2289.34,198.35,26.13,30.0,9.0,11.0,Uttar Pradesh,NHAI,0
4/6L Southern Ayodhya Bypass from Km 5.000 to Km 37.172 starting near Km. 112.540 and ending at Km. 153.281 of NH-27,NHAI,618568,2541.13,265.58,35.14,30.0,13.0,7.0,Uttar Pradesh,NHAI,0
4 -Laning of MP/UP Border to Kabarai section of NH-34&35 from km 197.000 to km 242.991 Length 45.991 Km Sagar-Kabrai Package-5 under Bharat Mala Pariyojana EC in MP & UP on HAM,National Highways Authority of India [NHAI],618669,1632.93,322.5,50.25,24.0,14.0,28.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
"4 lanning of Aligarh Palwal section from km 0.00 to km 46.39 package -1 from khereshwar junction-kurana of NH33D , including khair & jattari bypass in the state of UP on HAM mode",National Highways Authority of India [NHAI],618690,1663.38,534.65,15.75,24.0,13.0,12.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
Aligarh-Kanpur Pkg I [Aligarh-Bhadwas],National Highways Authority of India [NHAI],618692,1226.64,659.17,100.0,40.0,86.0,11.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
DL/UP Border - EPE Crossing Pkg-02,National Highways Authority of India [NHAI],618710,2002.79,1732.92,100.0,30.0,59.0,8.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
6L access Controlled Greenfield Highway from Gogwan Jalalpur Shamli to Ranipur Barsi Saharanpur of Shamli -Ambala section Package-I Design Ch. Form km 00.600 to km 45.500,National Highways Authority of India [NHAI],618722,1843.59,685.93,58.9,24.0,35.0,11.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
4L Spur of Meerut-Garh-Mukteshwar section connecting NH-119 and NH-58 bypassing Meerut Town of NH 709 A,National Highways Authority of India [NHAI],618761,991.89,815.91,95.22,24.0,38.0,16.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
Four laning of Agra-Aligarh Section from Km. 0.000 Junction of NH-34 Aligarh Km 144.60 to Km. 28.000 near Asroi village in Hathras of NH-509 Package-I,National Highways Authority of India [NHAI],618768,1309.08,0.0,0.0,24.0,1.0,21.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
4L Spur of Panipat - Shamli connecting NH-709AD Panipat Shamli Muzaffarnagar and NH-709A Karnal Meerut bypassing Shamli district UP,National Highways Authority of India [NHAI],618770,516.16,232.93,74.23,24.0,42.0,12.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
4L of Bareilly-Pilibhit-Sitarganj from Km. 0.000 to Km. 32.500 of NH-30 Pkg-1,National Highways Authority of India [NHAI],618782,1394.14,561.53,58.86,24.0,25.0,13.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
4L of Sonauli - Gorakhpur,National Highways Authority of India [NHAI],618798,2555.5,1247.39,84.0,24.0,37.0,15.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
Construction of two lane with paved shoulders bypass to Mungrabadshapur town starting from near Kodahu at Km 47/225 of NH-319D and ending near Nauwadandi at Km 219/720 of NH-31 under NHO in the state of Uttar Pradesh on EPC mode,National Highways Authority of India [NHAI],618843,197.6,36.16,12.39,18.0,7.0,7.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
Construction of Underpass beneath airport runway on NH-31 old NH-56 for proposed expansion of runway of Babatpur Airport Varanasi,National Highways Authority of India [NHAI],618848,649.44,0.09,6.6,24.0,7.0,7.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
2L PS of Raebareli - Jagdishpur with 4L Jagdishpur Bypass Spur,National Highways Authority of India [NHAI],618854,706.41,515.53,97.2,24.0,51.0,11.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
"Improvement and Up-Gradation of Existing Road to 2/4L PS from Km 40.000 to 88.750, start of Khutar bypass to start of Shahjahanpur bypass of NH 731Pkg-I",National Highways Authority of India [NHAI],618855,838.68,560.48,99.2,24.0,38.0,11.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
"Improvement and Up-Gradation of Existing Road to 4L PS from Km 123.650 to 175.080, from Start of Shahabad Bypass to End of Hardoi bypass of NH 731 Pkg-2B",National Highways Authority of India [NHAI],618856,1101.79,346.55,63.51,24.0,29.0,14.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
"Improvement and Up-Gradation of Existing Road to 4L PS from Km 88.750 to 123.650, from Start of Shahjahanpur Bypass to start of Shahabad bypass of NH 731Pkg.-2A",National Highways Authority of India [NHAI],618858,955.34,269.0,64.2,24.0,27.0,16.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
"Improvement and Up-Gradation of Existing Road to 4L PS from Km 229.070 to 260.800, End of Hardoi District to Lucknow Ring road of NH 731 Pkg-4",National Highways Authority of India [NHAI],618859,575.66,371.82,99.33,24.0,42.0,13.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
4L from Mathura Bypass Start at Existing Km. 154.20 of NH-44 to Gaju Village at Km 32.982 of NH-530B Pkg-IB,National Highways Authority of India [NHAI],618864,1722.11,1049.87,99.9,24.0,37.0,14.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
4L from Gaju Village at Km. 32.982 to Devinagar Bypass End at Km. 208.000 of NH- 530B Pkg-1C.,National Highways Authority of India [NHAI],618865,1384.79,823.04,99.99,24.0,39.0,13.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
"Four Lane Highway from Chandan Nagar Existing Km. 59.025 of NH 530B/Design Km. 179.5000 to Bareilly BypassStartExisting Km. 59.025 of NH 530B/Design Km. 218.000 Section of NH 530B, in the State of Uttar Pradesh on HAM Mode under NH0",National Highways Authority of India [NHAI],618866,2077.0,223.68,16.01,24.0,5.0,11.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
4L Kasganj-Badaun Section from Km. 123.100 to Km. 179.500 Pkg-III of NH530B,National Highways Authority of India [NHAI],618867,2009.11,191.05,28.21,24.0,11.0,26.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
4L from Devinagar Bypass End Existing Km. 208.000 of NH 530B/Design Km. 66.000 to Kasganj Bypass End Existing Km.150.100 of NH 530B/ Design Km. 123.100 of NH 530B,National Highways Authority of India [NHAI],618868,2289.52,486.52,62.48,24.0,22.0,15.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
"Construction of 4/6 lane Highway of Southern Bareilly Bypass, starting at Ch. 237000 of NH 530 near Jhumka chauraha, Dhantiya village and ending at Ch. 267000 of NH 30 near Invertis University including Trumpet Interchange",National Highways Authority of India [NHAI],618869,1122.02,129.68,10.21,30.0,4.0,12.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
Construction of Four Lane Highway form Ghazipur- Ballia-UP/Bihar State Border Greenfield section of NH-31 Package I [from Hridaipur km 0.000 to Shahapur km 42.500] on EPC Mode in the state of Uttar Pradesh.,National Highways Authority of India [NHAI],618883,1706.47,844.84,99.11,24.0,33.0,9.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
Construction of Four Lane Highway from Ghazipur- Ballia-UP/Bihar State Border Greenfield section of NH-31 Package II [from Shahapur km 42.500 to Pindari km 78.150] on EPC Mode in the state of Uttar Pradesh.,National Highways Authority of India [NHAI],618884,1493.65,705.07,95.5,24.0,30.0,12.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
Construction of Four Lane Highway from Ghazipur- Ballia-UP/Bihar State Border Greenfield section of NH-31 Package IV [from Buxur Spur of length km 17.270 on EPC Mode in the state of Uttar Pradesh.,National Highways Authority of India [NHAI],618885,617.88,235.64,83.88,24.0,34.0,8.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
Varanasi Gorakhpur Section Packege IV from km. 149.540 to km. 215.160 Mau- Gorakhpur,National Highways Authority of India [NHAI],618893,2966.63,865.21,97.35,30.0,108.0,24.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
4L Greenfield Western Side spur of Rampur-Rudrapur Section from Km 0.000 to Km 13.700 connecting NH-24 to NH-87 bypassing rampur town,National Highways Authority of India [NHAI],618911,646.27,166.33,63.79,18.0,35.0,17.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
4L Behsuma at Km 39.250 Ex. Km 39240 To Bijnor at Km 78.810 Ex. Km 86590 Design Length 39.560 Km of NH-119 Pkg-II,National Highways Authority of India [NHAI],618923,2158.2,694.43,65.21,24.0,23.0,14.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
2L PS of Najibabad Kotdwar section from 112.575 to Km. 138.635 of NH 119,National Highways Authority of India [NHAI],618924,188.87,33.37,50.44,18.0,25.0,29.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
Bijnor-Kotawali,National Highways Authority of India [NHAI],618925,300.58,264.54,96.53,18.0,53.0,9.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
4L of Moradabad-Thakurdwara-Kashipur Section from Km. 0.000 to Km. 38.77 of NH- 734 Pkg-II,National Highways Authority of India [NHAI],618927,2006.82,878.74,47.51,24.0,25.0,17.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
4L of Moradabad western side spur connecting NH-734 & NH-24 from Km. 0.000 to Km. 33.200 Pkg-I,National Highways Authority of India [NHAI],618929,1841.92,982.74,76.9,24.0,31.0,10.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
4L Prayagraj Greenfield By-pass from design Km 50860 near Nibi Kala Uperhar to design Km 64763 on NH-19 near Khodaypur Kasgaon including Interchange loop at NH-19,National Highways Authority of India [NHAI],618959,1017.99,406.6,100.0,15.0,28.0,4.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
4 Lane Inner Ring Road around Allahabad City Pkg-2 Prayagraj Southern Bypass 43.200 - 50.860,National Highways Authority of India [NHAI],618960,1377.51,394.66,42.26,30.0,28.0,4.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
4 Lane Inner Ring Road around Allahabad City Pkg-1 Prayagraj Southern Bypass 34.400 43.200,National Highways Authority of India [NHAI],618961,775.94,15.11,4.44,24.0,4.0,10.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
6L access control Greenfield highway of Vill-Khyawari to Vill-Latifpur at Saharanpur Bypass from Km. 82.000 to Km. 119.790 Pkg-4,National Highways Authority of India [NHAI],618968,1428.19,1220.87,97.5,24.0,43.0,18.0,Uttar Pradesh,National Highways Authority of India [NHAI],1
6L access control Greenfield highway of Vill-Lohadda to Vill-Karaunda Mahajan from Km. 27.000 to Km. 56.500 Pkg-2,National Highways Authority of India [NHAI],618970,1335.45,1016.38,92.89,24.0,43.0,18.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
4L of Najibabad Bypass from Km. 105.423 to Km. 118.373 excluding 2.45 Km. of NH- 74 Bypass of NH-119,National Highways Authority of India [NHAI],619162,578.02,438.87,100.0,18.0,40.0,11.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
6L access controlled Greenfield highway of Junction of EPE Vill.-Mavikalan to Vill.- Lohadda from Km. 0.000 to Km. 27.000 Pkg-1,National Highways Authority of India [NHAI],619168,1602.48,1215.04,99.11,24.0,43.0,18.0,Uttar Pradesh,National Highways Authority of India [NHAI],0
6L access-controlled highway from Ganeshpur tonear Mohand of Ganeshpur Dehradun section from Km.0 to Km.8.3 of NH-72A Package-1,NHAI,619308,836.24,808.7,98.92,24.0,54.0,11.0,Uttar Pradesh,NHAI,0
Landslide treatment work on NH 58 from Kodiyala Km. 266.130 to Devprayag Km. 296.925 10 location under EPC mode in the State of Uttarakhand on EPC Mode,MoRTH,617888,192.54,0.0,99.0,12.0,26.0,13.0,Uttarakhand,MoRTH,0
Treatment of landslide zone from location no. 01 to 28 km 62.860 to 152.750 on NH- 12509 in the State of Uttarakhand under EPC mode in NHO Annual Plan 2022-23,MoRTH,617889,192.22,0.0,97.0,12.0,34.0,7.0,Uttarakhand,MoRTH,0
Construction of Champawat Bypass with two lane with paved shoulder configuration starting from existing chainage 121.700 to existing chainage 129.450 Design Length 9.847 of NH-125 in District-Champawat in the state of Uttrakhand on EPC mode.,MoRTH,617890,220.89,0.0,5.0,23.0,3.0,11.0,Uttarakhand,MoRTH,0
Construction of 2 lane with paved shoulder of Kund Bypass from Design Km 35.130 to Km 47.700 existing Km 33.130 to Km 41.260 of NH-109 in the State of Uttarakhand,MoRTH,617929,247.41,110.98,73.5,24.0,95.0,3.0,Uttarakhand,MoRTH,0
Construction of Rudraprayag tunnel of length 900.30 MTR including approaches and one major bridge on river Alaknanda connecting NH-107/old-109 to NH-07old-58 on EPC mode in the state of Uttarakhand.,MoRTH,617967,251.88,0.0,99.0,30.0,39.0,23.0,Uttarakhand,MoRTH,0
Construction & Widening Including Augustmuni Bypass Ch-16.545 to Ch - 19.890 to 2L/PS from Km 16.545-Km 33.130 & 45.980 -57.975 Augustmuni to Kund & Guptkashi to Sitapur on NH 109 in UK,MoRTH,617968,418.89,422.72,95.0,24.0,98.0,11.0,Uttarakhand,MoRTH,0
Reconstruction of existing 2 L/IL to 2L with paved shoulder from existing km 52.200 to 92.880 of NH-,MoRTH,617970,282.08,166.13,100.0,24.0,106.0,8.0,Uttarakhand,MoRTH,0
Rehabilitation and upgradation of 2 lane with paved shoulder from existing km. 195.175 to km. 220.000 Design Chainage km71.300 to Km. 95.947 Excluding existing chainage Km 200.300 to Km 202.400 Design chainage Km 76.400 to Km 78.400 on Dharasu to Yamunotri Road of NH- 134 Old NH-94,MoRTH,617974,344.73,0.0,17.78,30.0,6.0,5.0,Uttarakhand,MoRTH,0
Rehabilitation and upgradation to 2 lane with paved shoulder configuration from km 122.00 Dharasu Bend to km 147.230 Silkyara Bend of NH-94 in the state of Uttarakhand,MoRTH,617975,237.79,79.56,100.0,24.0,101.0,8.0,Uttarakhand,MoRTH,0
