rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,revised_cost,expenditure,physical_progress,cost_overrun_percent,schedule_change_months,expenditure_progress_gap,cost_risk,schedule_risk,progress_risk,financial_risk,rule_based_score,ml_score,final_risk_score,risk_level,risk_reasons
805,Harmuty-Murkongselek Branch Line Electrification Project,GM/C/ NFR,706942,Assam,GM/C/ NFR,237.52,237.52,0.0,0.0,0.0,,0.0,0,50,100,0,40.0,6.0526514,26.42106056213379,LOW,Low physical progress
806,"HEFA projects on development of student hostels, playgrounds, departmental buildings, class room complex and other campus facilities in IIT Kharagpur","Indian Institute of Technology, Kharagpur",609019,West Bengal,"Indian Institute of Technology, Kharagpur",500.0,442.0,415.35,96.0,-11.6,36.0,-2.02941176470587,0,100,0,0,30.0,20.83785,26.335140228271484,LOW,Schedule delay above 6 months
807,6L of Gundugolanu Design km 1023.280 to Kalaparru Design km 1050.680 of NH-5 New NH-16,National Highways Authority of India [NHAI],618526,Andhra Pradesh,National Highways Authority of India [NHAI],665.59,665.59,512.09,95.73,0.0,58.0,-18.79224552652535,0,100,0,0,30.0,20.831411,26.33256435394287,LOW,Schedule delay above 6 months
808,Kwar HE Project,National Hydroelectric Power Corporation Limited [NHPC],605155,"Jammu and
Kashmir",National Hydroelectric Power Corporation Limited [NHPC],4526.12,4526.12,1569.55,34.21,0.0,16.0,0.4676046591782778,0,75,75,0,41.25,3.9236832,26.319473266601562,LOW,Schedule delay above 6 months | Low physical progress
809,Borolia Irrigation Project,"Department of Water Resources, River Development & GR",701370,Assam,"Department of Water Resources, River Development & GR",256.16,256.16,44.7,55.44,0.0,39.0,-37.98996876951905,0,100,40,0,40.0,5.7958426,26.318337202072144,LOW,Schedule delay above 6 months
810,Four Laning of Chettikulam to Natham section of NH-785,National Highways Authority of India [NHAI],619131,Tamil Nadu,National Highways Authority of India [NHAI],837.61,823.93,169.31,99.75,-1.63321832356348,67.0,-79.20092422900004,0,100,0,0,30.0,20.768389,26.307355880737305,LOW,Schedule delay above 6 months
811,Tumkur-Chitradurga,National Highways Authority of India [NHAI],619070,Karnataka,National Highways Authority of India [NHAI],839.0,47.44,8.42,100.0,-94.3456495828367,150.0,-82.2512647554806,0,100,0,0,30.0,20.694193,26.277677536010742,LOW,Schedule delay above 6 months
812,PORDA CHIMTAPANI OCP [10 MTY],South Eastern Coalfields Limited [SECL],400144,Chhattisgarh,South Eastern Coalfields Limited [SECL],2310.12,2310.12,113.83,11.81,0.0,,-6.8825503437050894,0,50,100,0,40.0,5.6552563,26.262102603912354,LOW,Low physical progress
813,6L Jakkuva Korlam Section of NH-130CD Road from km 396.800 to km 421.100 Pkg 2,National Highways Authority of India [NHAI],619111,Andhra Pradesh,National Highways Authority of India [NHAI],840.51,840.51,549.56,99.32,0.0,26.0,-33.93588797277843,0,100,0,0,30.0,20.629951,26.251980781555176,LOW,Schedule delay above 6 months
814,SAAP-3 Water Supply Infrastructure SAAP-3 Project,Ministry of Housing & Urban Affairs,702742,Jharkhand,Ministry of Housing & Urban Affairs,159.31,159.31,87.5,67.0,0.0,32.0,-12.075638691858645,0,100,40,0,40.0,5.608777,26.243510961532593,LOW,Schedule delay above 6 months
815,Four Laning of Trichy - Dindigul from km. 333.00 to km. 421.273 of NH-45,National Highways Authority of India [NHAI],618874,Tamil Nadu,National Highways Authority of India [NHAI],1003.11,435.81,9.43,100.0,-56.5541166970721,190.0,-97.8362130286134,0,100,0,0,30.0,20.518793,26.207517623901367,LOW,Schedule delay above 6 months
816,AIIMS Darbhanga,PMSSY AND Institute of NATIONAL Importance,701172,Bihar,PMSSY AND Institute of NATIONAL Importance,1264.0,1264.0,0.0,0.0,0.0,,0.0,0,50,100,0,40.0,5.3561606,26.14246439933777,LOW,Low physical progress
817,Rehabilitation and Up gradation from 4 to 8 laning of Chandikhole Paradip Section of NH-53 Old NH 5A from Km.0.00 to Km.18.00Package-1,National Highways Authority of India [NHAI],618822,Odisha,National Highways Authority of India [NHAI],929.91,869.45,365.01,92.3,-6.501704466023586,8.0,-50.31828742308356,0,50,0,0,15.0,42.831097,26.13243865966797,LOW,Schedule delay above 6 months
818,"Construction of Field Gas Gathering Station at Baghjan area for collection, processing & transportation of natural Gas to be produced from Baghjan Field",Ministry of Petroleum & Natural Gas,616858,Assam,Ministry of Petroleum & Natural Gas,430.76,430.76,346.97,92.4,0.0,27.0,-11.851666821431891,0,100,0,0,30.0,20.326267,26.130507469177246,LOW,Schedule delay above 6 months
819,Tumakuru Node - Phase 1 - Roads and Services Development,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],701657,Karnataka,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],1701.81,1701.81,278.35,23.18,0.0,,-6.823885040045596,0,50,100,0,40.0,5.212561,26.08502459526062,LOW,Low physical progress
820,"Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar, Punjab, Phase-I","Indian intitue of Management, Amritsar",605292,Punjab,"Indian intitue of Management, Amritsar",348.31,348.31,293.1,91.7,0.0,39.0,-7.55082254313686,0,100,0,0,30.0,20.103796,26.041518211364746,LOW,Schedule delay above 6 months
821,2L with ES of Yagyi - Kalewa section from Milepost 40/0 to Milepost 115/5 in Myanmar,National Highways Authority of India [NHAI],618958,Assam,National Highways Authority of India [NHAI],1200.14,1200.14,0.0,52.0,0.0,49.0,-52.0,0,100,40,0,40.0,5.094945,26.037977933883667,LOW,Schedule delay above 6 months
822,4-Laning of Balance work of Dimapur-Kohima Road from design km 152.490 to km 166.700 Existing km 156.000 to km 172.900 Excluding Dimapur & Kohima Bypass under SARDP-NE Package-III,NHIDCL,618328,Nagaland,NHIDCL,562.98,794.75,119.71,82.59,41.168425166080496,,-67.52740169864738,75,50,0,0,37.5,8.782698,26.013079166412354,LOW,Cost overrun above 10%
823,4L of Bareilly-Pilibhit-Sitarganj from Km. 0.000 to Km. 32.500 of NH-30 Pkg-1,National Highways Authority of India [NHAI],618782,Uttar Pradesh,National Highways Authority of India [NHAI],1394.14,1394.14,561.53,58.86,0.0,8.0,-18.582122598878172,0,50,40,0,25.0,27.528614,26.011445999145508,LOW,Schedule delay above 6 months
824,Badam Coal Mining project of NTPC,National Thermal Power Corporation [NTPC],603293,Jharkhand,National Thermal Power Corporation [NTPC],502.0,784.0,471.08,67.86,56.17529880478087,-356.0,-7.773265306122447,100,0,40,0,40.0,4.871156,25.94846248626709,LOW,Cost overrun above 10%
825,MURAIDIH UG PROJECT,BCCL,613808,Jharkhand,Bharat Coking Coal Limited (BCCL),339.87,339.87,191.0,70.47,0.0,152.0,-14.27204195721894,0,100,40,0,40.0,4.82744,25.930975914001465,LOW,Schedule delay above 6 months
826,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone Part-A and Part-B,Power Grid Corporation of India Limited [POWERGRID],900808,"Multi-States
(Andhra Pradesh,
Telangana)",Power Grid Corporation of India Limited [POWERGRID],3546.94,3546.94,3532.75,99.69,0.0,18.0,-0.0900631530276854,0,75,0,0,22.5,30.964521,25.88580894470215,LOW,Schedule delay above 6 months
827,Gomoh - Flyover for DN trains,East Central Railway [ECR] - I,705765,Jharkhand,East Central Railway [ECR] - I,686.0,686.0,631.52,66.5,0.0,0.0,25.55830903790087,0,0,40,75,21.25,32.710438,25.83417510986328,LOW,Expenditure is significantly ahead of physical progress
828,Integrated Para Xylene [PX] and Purified Terephthalic Acid [PTA] Project at Paradip Refinery,Ministry of Petroleum & Natural Gas,604859,Odisha,Ministry of Petroleum & Natural Gas,13805.0,11783.0,8450.45,93.9,-14.64686707714596,31.0,-22.18269540863956,0,100,0,0,30.0,19.567106,25.826842784881592,LOW,Schedule delay above 6 months
829,Up-gradation to 4-lane with Paved Shoulder of Jammu-Akhnoor road section of NH- 144A from Ganesh Vihar Km 6.000 to Khati Chowk Km 26.350 in UT of Jammu and Kashmir on EPC basis Pkg-3A,NHIDCL,618406,"Jammu and
Kashmir",NHIDCL,322.49,322.49,0.0,0.0,0.0,10.0,0.0,0,50,100,0,40.0,4.444975,25.777989983558655,LOW,Schedule delay above 6 months | Low physical progress
830,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]",National Thermal Power Corporation [NTPC],617188,Chhattisgarh,National Thermal Power Corporation [NTPC],9791.0,9791.0,1619.63,18.91,0.0,,-2.36797160657747,0,50,100,0,40.0,4.3857665,25.7543066740036,LOW,Low physical progress
831,"Creation of Gas Dehydration Facilities, Tripura Asset",Oil and Natural Gas Corporation Limited [ONGC],709837,Tripura,Oil and Natural Gas Corporation Limited [ONGC],209.33,131.51,78.98,68.9,-37.17575120622941,27.0,-8.843730514789748,0,100,40,0,40.0,4.299746,25.719898462295532,LOW,Schedule delay above 6 months
