rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,expenditure,physical_progress,project_age_months,overrun_probability,risk_score,risk_level
1785,"Construction of 2 lane Major Bridge including approaches over Brahmaputra between Majuli on North Bank and Jorhat on South Bank from km. 11.690 to km. 19.715 length of bridge 6,812.5m Package - II on NH-715K in the state of Assam Job no. 715/AS/2020-21/213",MoRTH,618160,Assam,MoRTH,1019.17,0.0,1.82,4.0,0.5740724,0.5740724,LOW
1786,Rehabilitation & upgradation of existing road to 2-lane with hard shoulder from Joshimath km 0.00 to Saraithota km 29.725 road on NH-107B under Bharatmala Pariyojna on EPC mode in the state of Uttarakhand,MoRTH,618218,Uttarakhand,MoRTH,338.38,0.0,78.2,35.0,0.5738601,0.5738601,LOW
1787,Rehabilitation and Up gradation of Charthana Jintur Section of NH 752 I Km 25100 to 47100 to 2 Lane with Paved Shoulder configuration Flexible Pavement in the state of Maharashtra on EPC mode. Reg- Resubmission of Annual Plan Estimate.,MoRTH,619008,Maharashtra,MoRTH,157.69,0.0,0.0,3.0,0.57228047,0.57228047,LOW
1788,Samlaya Timba Road 54 km,PCE/WR,611970,Gujarat,PCE/WR,670.17,45.86,12.0,38.0,0.57107115,0.57107115,LOW
1789,BHUBANESWARI EXPN OCP 50 MTY,MCL - CIL,616231,Odisha,MCL - CIL,5366.27,477.39,32.47,25.0,0.56686664,0.56686664,LOW
1790,Transmission system for evacuation of Power from REZ in Rajasthan [20 GW] under phase-III Part-D Phase-II,Power Grid Corporation of India Limited [POWERGRID],615336,Delhi,Power Grid Corporation of India Limited [POWERGRID],284.0,22.72,7.75,18.0,0.56487393,0.56487393,LOW
1791,"2-laning of Zorinpui - Longmasu section of NH-502A from km 0.000 to km 28.244 in the State of Mizoram on EPC mode under NHO-NE, stretch of IMBR",NHIDCL,618452,Mizoram,NHIDCL,781.85,20.64,4.71,16.0,0.5618241,0.5618241,LOW
1792,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5GW] [Jaisalmer/Barmer Complex] Part H1 [POWERGRID KURAWAR TRANSMISSION LIMITED],Power Grid Corporation of India Limited [POWERGRID],615344,Madhya Pradesh,Power Grid Corporation of India Limited [POWERGRID],3674.0,1396.12,39.24,18.0,0.56108534,0.56108534,LOW
1793,CHUPERBHITA SIMLONG OCP MDO 6,Eastern Coal Fields Limited [ECL],616225,Jharkhand,Eastern Coal Fields Limited [ECL],979.08,0.0,0.05,28.0,0.56068635,0.56068635,LOW
1794,"lmprovement and Widening to 2 lane with paved Shoulder of NH-15 old NH-52 from Existing Km 770.600 Design Km 24.819 to Existing km 805.750 Design Km 59.885 Kamlang T-Junction to Chowkham, Existing Length 35.150 Km, Design Length-35.066 Km in the state of Arunachal Pradesh on EPC mode Pkg-2",NHIDCL,619014,Arunachal Pradesh,NHIDCL,316.73,0.0,0.0,2.0,0.5501191,0.5501191,LOW
1795,SINGHORI DEEP OC MIN 2.0 MTY,Western Coalfields Limited [WCL],615190,Maharashtra,Western Coalfields Limited [WCL],335.75,49.75,9.57,47.0,0.5494882,0.5494882,LOW
1796,Pune Metro Phase-1 Extension line towards south from Swargate to Katraj,Maharashtra Metro Rail Corporation Limited [MMRCL],617226,Maharashtra,Maharashtra Metro Rail Corporation Limited [MMRCL],2954.53,46.13,5.2,19.0,0.5440998,0.5440998,LOW
1797,ITAPARA OCP,Eastern Coal Fields Limited [ECL],612816,West Bengal,Eastern Coal Fields Limited [ECL],929.1,71.23,8.35,28.0,0.54337394,0.54337394,LOW
1798,Rail Connectivity to Errupalem Amravati Namburu 57 Km,South Central Railway [SCR] - II,617214,"Multi-States
(Andhra Pradesh,
Telangana)",South Central Railway [SCR] - II,2047.4,208.59,0.16,17.0,0.54079133,0.54079133,LOW
1799,Construction of realignment between Pandrass- Pashkyun Total length 27.10 km on road Zozila-Kargil -Leh NH-1 to 2 lane specifications i.e. Drass alignment 9.30 km Kharboo realignment 6.30 km & Kargil alignment 11.50 km under project Vijayak BRO in the UT of Ladakh on EPC Mode,MoRTH,618204,"Jammu and
Kashmir",MoRTH,426.15,97.91,54.89,34.0,0.5333425,0.5333425,LOW
1800,Construction of 4 lane Mirzapur bypass including bridge over river Ganga from km 0.000 to km 15.000 of NH 135A in the State of Uttar Pradesh on HAM Mode.,MoRTH,618247,Uttar Pradesh,MoRTH,1708.62,0.0,2.0,3.0,0.52917176,0.52917176,LOW
1801,Pradhan Kuntha Jn Line Doubling Project,East Central Railway [ECR] - I,706837,Jharkhand,East Central Railway [ECR] - I,349.22,125.71,71.5,41.0,0.5290382,0.5290382,LOW
1802,Improvement and Widening to 2-lane with paved shoulder of road from design Km 72.000 Pati Chhari to design Km 107.654 Harina Total length 35.654 Km on Teliamura to Harina section of NH 208 in the state of Tripura on EPC mode under JICA ODA Loan Phase VI Package-4,NHIDCL,618367,Tripura,NHIDCL,726.9,194.74,8.65,16.0,0.52173555,0.52173555,LOW
1803,Construction of Srinivasapura Bypass from existing Km 453.890 Design Ch. 0000 to existing Km 461.450 Design Ch 10080 on NH-69 in the State of Karnataka Under NH O in EPC mode under Annual Plan 2022-23 NH-69-KNT-2022-23-966 dated 22.11.2022,MoRTH,617950,Karnataka,MoRTH,204.42,0.0,0.0,9.0,0.5210221,0.5210221,LOW
1804,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5 GW][Jaisalmer/Barmer Complex] Part B [SPV Name POWERGRID Sirohi Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],615332,Rajasthan,Power Grid Corporation of India Limited [POWERGRID],3279.0,1508.34,47.13,20.0,0.520567,0.520567,LOW
1805,Construction of 4 lane Bypass to Nalgonda Town lrorn Km 000 Existing Ch. 181590 to Km 14.00 Existing Ch. 28/685 ol Nakrekal to Nagarjunsagar Section of NH -565 in the State of Telangara on EPC under Annual Plan 2024 -25,MoRTH,619253,Telangana,MoRTH,516.17,0.0,43.13,6.0,0.51593196,0.51593196,LOW
1806,MANIKPUR OC EXPANSION PROJECT,South Eastern Coalfields Limited [SECL],617288,Chhattisgarh,South Eastern Coalfields Limited [SECL],382.61,116.09,21.29,15.0,0.5135037,0.5135037,LOW
1807,Redevelopment of New Delhi Railway Station and construction of associated infrastructure,Rail Land Development Authority,613785,Delhi,Rail Land Development Authority,4744.0,257.53,3.0,22.0,0.5129313,0.5129313,LOW
1808,Additional works under BM1 to ensure road safety under 6L of Bengaluru Mysuru Access control with close toll from Km.17.300 to Km.136.300 of NH-275,National Highways Authority of India [NHAI],618707,Karnataka,National Highways Authority of India [NHAI],738.37,14.27,5.63,3.0,0.5111423,0.5111423,LOW
